id,trip_duration
id000000,251
id000001,971
id000002,851
id000003,514
id000004,637
id000005,721
id000006,325
id000007,895
id000008,643
id000009,649
id000010,569
id000011,864
id000012,718
id000013,358
id000014,1414
id000015,959
id000016,303
id000017,717
id000018,359
id000019,411
id000020,603
id000021,1029
id000022,860
id000023,1021
id000024,602
id000025,279
id000026,370
id000027,559
id000028,783
id000029,791
id000030,385
id000031,597
id000032,694
id000033,710
id000034,791
id000035,352
id000036,1110
id000037,1116
id000038,1188
id000039,1037
id000040,970
id000041,493
id000042,1238
id000043,811
id000044,283
id000045,488
id000046,252
id000047,286
id000048,253
id000049,438
id000050,586
id000051,364
id000052,642
id000053,839
id000054,639
id000055,534
id000056,315
id000057,364
id000058,566
id000059,347
id000060,374
id000061,343
id000062,450
id000063,1057
id000064,427
id000065,912
id000066,398
id000067,788
id000068,267
id000069,1163
id000070,330
id000071,354
id000072,412
id000073,516
id000074,580
id000075,363
id000076,690
id000077,958
id000078,688
id000079,574
id000080,292
id000081,750
id000082,429
id000083,300
id000084,621
id000085,744
id000086,306
id000087,654
id000088,390
id000089,812
id000090,345
id000091,254
id000092,679
id000093,296
id000094,1109
id000095,914
id000096,364
id000097,404
id000098,276
id000099,342
id000100,373
id000101,293
id000102,268
id000103,1221
id000104,365
id000105,950
id000106,941
id000107,937
id000108,481
id000109,578
id000110,436
id000111,308
id000112,296
id000113,556
id000114,887
id000115,697
id000116,647
id000117,670
id000118,575
id000119,418
id000120,319
id000121,316
id000122,1009
id000123,596
id000124,310
id000125,451
id000126,370
id000127,840
id000128,458
id000129,623
id000130,481
id000131,774
id000132,1177
id000133,361
id000134,641
id000135,628
id000136,946
id000137,658
id000138,662
id000139,696
id000140,615
id000141,360
id000142,724
id000143,808
id000144,351
id000145,479
id000146,298
id000147,642
id000148,1643
id000149,847
id000150,632
id000151,869
id000152,1130
id000153,286
id000154,662
id000155,460
id000156,408
id000157,305
id000158,663
id000159,1216
id000160,627
id000161,248
id000162,732
id000163,483
id000164,1004
id000165,1205
id000166,871
id000167,1177
id000168,714
id000169,325
id000170,1071
id000171,399
id000172,687
id000173,442
id000174,938
id000175,740
id000176,806
id000177,1031
id000178,1008
id000179,941
id000180,428
id000181,1143
id000182,1488
id000183,548
id000184,386
id000185,1306
id000186,942
id000187,469
id000188,561
id000189,1062
id000190,858
id000191,688
id000192,350
id000193,386
id000194,418
id000195,794
id000196,1586
id000197,635
id000198,272
id000199,397
id000200,1005
id000201,572
id000202,715
id000203,401
id000204,1163
id000205,339
id000206,897
id000207,265
id000208,357
id000209,707
id000210,788
id000211,482
id000212,419
id000213,318
id000214,1042
id000215,919
id000216,456
id000217,669
id000218,1225
id000219,919
id000220,828
id000221,707
id000222,469
id000223,1309
id000224,476
id000225,357
id000226,950
id000227,754
id000228,1089
id000229,461
id000230,249
id000231,1263
id000232,861
id000233,1129
id000234,967
id000235,480
id000236,1014
id000237,423
id000238,828
id000239,556
id000240,882
id000241,538
id000242,1248
id000243,685
id000244,1019
id000245,820
id000246,802
id000247,1086
id000248,339
id000249,318
id000250,484
id000251,784
id000252,421
id000253,494
id000254,504
id000255,416
id000256,810
id000257,351
id000258,547
id000259,717
id000260,506
id000261,540
id000262,265
id000263,739
id000264,828
id000265,434
id000266,378
id000267,1319
id000268,338
id000269,385
id000270,1027
id000271,884
id000272,351
id000273,987
id000274,385
id000275,731
id000276,874
id000277,267
id000278,739
id000279,645
id000280,459
id000281,339
id000282,349
id000283,987
id000284,287
id000285,325
id000286,306
id000287,972
id000288,804
id000289,674
id000290,314
id000291,396
id000292,831
id000293,1040
id000294,1079
id000295,997
id000296,918
id000297,928
id000298,525
id000299,281
id000300,844
id000301,456
id000302,429
id000303,560
id000304,266
id000305,317
id000306,391
id000307,282
id000308,272
id000309,599
id000310,708
id000311,249
id000312,426
id000313,831
id000314,430
id000315,1029
id000316,1376
id000317,274
id000318,426
id000319,321
id000320,359
id000321,902
id000322,559
id000323,850
id000324,658
id000325,531
id000326,712
id000327,436
id000328,927
id000329,1092
id000330,1453
id000331,354
id000332,783
id000333,298
id000334,1159
id000335,481
id000336,267
id000337,397
id000338,628
id000339,1128
id000340,350
id000341,393
id000342,274
id000343,333
id000344,622
id000345,282
id000346,338
id000347,454
id000348,539
id000349,2217
id000350,966
id000351,840
id000352,480
id000353,444
id000354,1234
id000355,1038
id000356,278
id000357,607
id000358,803
id000359,358
id000360,269
id000361,350
id000362,306
id000363,546
id000364,401
id000365,1219
id000366,813
id000367,1298
id000368,1109
id000369,620
id000370,595
id000371,485
id000372,820
id000373,1223
id000374,441
id000375,403
id000376,586
id000377,571
id000378,1220
id000379,699
id000380,305
id000381,957
id000382,1197
id000383,294
id000384,626
id000385,347
id000386,284
id000387,338
id000388,354
id000389,512
id000390,415
id000391,758
id000392,589
id000393,459
id000394,749
id000395,933
id000396,329
id000397,613
id000398,759
id000399,818
id000400,278
id000401,284
id000402,773
id000403,982
id000404,747
id000405,1125
id000406,536
id000407,513
id000408,544
id000409,408
id000410,1219
id000411,476
id000412,443
id000413,737
id000414,1100
id000415,365
id000416,554
id000417,332
id000418,593
id000419,732
id000420,330
id000421,664
id000422,1482
id000423,405
id000424,951
id000425,545
id000426,669
id000427,447
id000428,592
id000429,653
id000430,1073
id000431,653
id000432,605
id000433,902
id000434,267
id000435,529
id000436,1125
id000437,508
id000438,1471
id000439,792
id000440,278
id000441,485
id000442,527
id000443,1523
id000444,1199
id000445,1208
id000446,1019
id000447,258
id000448,351
id000449,921
id000450,654
id000451,610
id000452,383
id000453,294
id000454,587
id000455,526
id000456,616
id000457,479
id000458,900
id000459,279
id000460,338
id000461,1085
id000462,854
id000463,576
id000464,793
id000465,470
id000466,286
id000467,993
id000468,322
id000469,1368
id000470,445
id000471,714
id000472,268
id000473,491
id000474,737
id000475,681
id000476,338
id000477,822
id000478,574
id000479,693
id000480,469
id000481,282
id000482,1178
id000483,892
id000484,299
id000485,347
id000486,280
id000487,573
id000488,374
id000489,1440
id000490,477
id000491,382
id000492,537
id000493,559
id000494,248
id000495,316
id000496,752
id000497,298
id000498,548
id000499,1149
id000500,1250
id000501,993
id000502,838
id000503,1970
id000504,1102
id000505,304
id000506,418
id000507,330
id000508,444
id000509,888
id000510,477
id000511,383
id000512,319
id000513,1578
id000514,416
id000515,352
id000516,1238
id000517,744
id000518,797
id000519,317
id000520,409
id000521,1811
id000522,304
id000523,306
id000524,364
id000525,291
id000526,658
id000527,596
id000528,657
id000529,1388
id000530,429
id000531,302
id000532,375
id000533,251
id000534,282
id000535,792
id000536,620
id000537,478
id000538,372
id000539,1190
id000540,501
id000541,671
id000542,396
id000543,1521
id000544,621
id000545,753
id000546,1279
id000547,453
id000548,327
